Institute,NIRF Rank,,,,,
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",101-150,,,,,
Panjab University,101-150,,,,,
PES University,101-150,,,,,
PSG Institute of Technology and Applied Research,101-150,,,,,
"Punjab Engineering College (Deemed to be University), Chandigarh",101-150,,,,,
Rajalakshmi Engineering College,101-150,,,,,
Sharda University,101-150,,,,,
Sri Sairam Engineering College,101-150,,,,,
SVKM`s Narsee Monjee Institute of Management Studies,101-150,,,,,
The Northcap University,101-150,,,,,
Thiagarajar College of Engineering,101-150,,,,,
University College of Engineering,101-150,,,,,
"Veermata Jijabai Technological Institute, (VJTI, Mumbai)",101-150,,,,,
Vels Institute of Science Technology and Advanced Studies (VISTAS),101-150,,,,,
Annamalai University,151-200,,,,,
Anurag University,151-200,,,,,
B. S. Abdur Rahman Crescent Institute of Science and Technology,151-200,,,,,
B.M.S. College of Engineering,151-200,,,,,
Bansilal Ramnath Agarwal Charitable Trust`s Vishwakarama Institute of Technology,151-200,,,,,
Bharati Vidyapeeth Deemed University College of Engineering,151-200,,,,,
C M R Institute of Technology,151-200,,,,,
Chaitanya Bharathi Institute of Technology,151-200,,,,,
CVR College of Engineering,151-200,,,,,
Dayalbagh Educational Institute,151-200,,,,,
Dr. D. Y. Patil Institute of Technology,151-200,,,,,
Easwari Engineering College,151-200,,,,,
"G. H. Raisoni College of Engineering, Nagpur",151-200,,,,,
G. L. A. University,151-200,,,,,
G.L.Bajaj Institute of Technology and Management,151-200,,,,,
Indian Institute of Information Technology Guwahati,151-200,,,,,
Indira Gandhi Delhi Technical University for Women,151-200,,,,,
Institute of Aeronautical Engineering,151-200,,,,,
Institute of Engineering & Management,151-200,,,,,
"J. C. Bose University of Science and Technology, YMCA",151-200,,,,,
Jawaharlal Nehru Technological University,151-200,,,,,
JSPM's Rajarshi Shahu College of Engineering,151-200,,,,,
KIET Group of Institutions: KIET Group of Pharmacy,151-200,,,,,
KLE Technological University,151-200,,,,,
Kumaraguru College of Technology,151-200,,,,,
Maharishi Markandeshwar (Deemed to be University),151-200,,,,,
Maulana Azad National Urdu University,151-200,,,,,
National Engineering College,151-200,,,,,
"National Institute of Advanced Manufacturing Technology, Ranchi",151-200,,,,,
"National Institute of Food Technology, Enterprenurship and Management",151-200,,,,,
National Institute of Technology Nagaland,151-200,,,,,
National Institute of Technology Sikkim,151-200,,,,,
New Horizon College of Engineering,151-200,,,,,
