name,district,type
"Meenakshi Sundararajan Engineering College , C/O I.I.E.T Society …",CHENNAI,Self-Financing T3
"Misrimal Navajee Munoth Jain Engineering College, Guru Marudhar K…",CHENGALPET,Self-Financing T3
"KCG college of Technology , Rajiv Gandhi Salai, Karapakkam, Chenn…",CHENGALPET,Self-Financing T3
"Sri Sivasubramaniya Nadar College of Engineering , Rajiv Gandhi S…",CHENGALPET,Self-Financing T1
"Agni College of Technology , Thalambur Off.Rajiv Gandhi Salai, Ch…",CHENGALPET,Self-Financing T3
"St. Joseph's College of Engineering , Jeppiaar Nagar, Old Mamalla…",CHENGALPET,Self-Financing T1
"T.J. Institute of Technology, Rajiv Gandhi Salai, Karapakkam, Che…",CHENGALPET,Self-Financing T3
"Thangavelu Engineering College, Rajiv Gandhi Salai, Karapakkam, C…",CHENGALPET,Self-Financing T3
Central Institute of Petrochemicals Engineering and Technology (F…,CHENNAI,Central Govt
"Dhanalakshmi Srinivasan College of Engineering and Technology, EC…",CHENGALPET,Self-Financing T1
"St. Joseph College of Engineering, Trinity Campus, Nemili B Beema…",KANCHEEPURAM,Self-Financing T1
Shikshaa Institute of Advanced Technologies (formerly Vi Institut…,CHENGALPET,Self-Financing T3
"Sri Krishna Institute of Technology, Navaneedam Nagar, Panapakkam…",KANCHEEPURAM,Self-Financing T3
MAHALAKSHMI TECH CAMPUS (FORMERLY MAHALAKSHMI ENGINEERING COLLEGE…,CHENGALPET,Self-Financing T3
Chennai Institute of Technology Puduper Village Nandambakkam Post…,KANCHEEPURAM,Self-Financing T1
"MOHAMED SATHAK A.J. ACADEMY OF ARCHITECTURE, IT HIGHWAY, 34, OLD …",CHENGALPET,Self-Financing T3
"Adhiparasakthi Engineering College, Melmaruvathur, Cheyyur Taluk,…",CHENGALPET,Self-Financing T3
"Annai Teresa College of Engineering, Thirunavalur, Ulundurpet Tal…",KALLAKURICHI,Self-Financing T3
"Dhanalakshmi College of Engineering, Manimangalam Puducheri Road,…",KANCHEEPURAM,Self-Financing T3
"G K M College of Engineering and Technology, G K M Nagar, Alappak…",CHENGALPET,Self-Financing T3
"IFET College of Engineering , IFET Nagar, Gangarampalayam, Valava…",VILUPPURAM,Self-Financing T3
"Karpaga Vinayaga College of Engineering and Technology, G.S.T. Ro…",CHENGALPET,Self-Financing T3
"Madha Engineering College, Madha Nagar,Somangalam Road, Kundrathu…",KANCHEEPURAM,Self-Financing T3
"Mailam Engineering College, Mailam, Tindivanam Taluk, Villupuram …",VILUPPURAM,Self-Financing T3
"Sri Venkateswaraa College of Technology , Sirukulathur, Vadakal V…",KANCHEEPURAM,Self-Financing T3
"Prince Shri Venkateshwaraa Padmavathy Engineering College , Medav…",KANCHEEPURAM,Self-Financing T3
"T.S.M.Jain College of Technology, Melur,Kallakurichi Taluk,Villup…",KALLAKURICHI,Self-Financing T3
"Jaya Sakthi Engineering College, St.Mary's Nagar, Thiruninravur,(…",THIRUVALLUR,Self-Financing T3
"Sri Sai Ram Engineering College , Sai Leo Nagar, Poonthandalam Vi…",CHENGALPET,Self-Financing T1
"Tagore Engineering College, Rathinamangalam, Vandalur, Kanchipura…",CHENGALPET,Self-Financing T3
"V.R.S. College of Engineering and Technology, Arasur & Post, Ulun…",VILUPPURAM,Self-Financing T3
"SRM Valliammai Engineering College , S.R.M. Nagar, Kattankulathur…",CHENGALPET,Self-Financing T1
"Asan Memorial College of Engineering and Technology, Asan Nagar, …",CHENGALPET,Self-Financing T3
"Dhaanish Ahmed College of Engineering, Dhaanish Nagar, Vanchuvanc…",KANCHEEPURAM,Self-Financing T3
"Sri Ramanujar Engineering College, Vandalur, Kolapakkam, Kanchipu…",CHENGALPET,Self-Financing T3
"Sri Krishna Engineering College, Panapakkam Near Padappai Via Tam…",KANCHEEPURAM,Self-Financing T3
"E.S.College of Engineering and Technology, Chennai Trunk Road, Ay…",VILUPPURAM,Self-Financing T3
"Maha Barathi Engineering College, A. Vasudevanur (post), Chinnasa…",KALLAKURICHI,Self-Financing T3
"New Prince Shri Bhavani College of Engineering and Technology , V…",CHENGALPET,Self-Financing T3
"Rajalakshmi Institute of Technology , Bangalore Highway Road, Kut…",KANCHEEPURAM,Self-Financing T3
"Surya Group of Institutions, NH-45, GST Road, Vikiravandi, Villup…",VILUPPURAM,Self-Financing T3
"A.R.Engineering College, Vadakuchipalayam, Kappiyampuliyur post, …",VILUPPURAM,Self-Financing T3
"Rrase College of Engineering, Vanjuvancherry, Padappai, Sriperumb…",KANCHEEPURAM,Self-Financing T3
"Sree Krishna College of Engineering, Anaicut Post, Unnai Village,…",VELLORE,Self-Financing T3
"A.K.T.Memorial College of Engineering and Technology, Neelamangal…",KALLAKURICHI,Self-Financing T3
"Prince Dr. K. Vasudevan College of Engineering and Technology , M…",CHENGALPET,Self-Financing T3
R.M.Engineering College (formerly Chendu College of Engineering a…,CHENGALPET,Self-Financing T3
"Sri Rangapoopathi College of Engineering, Alampoondi Village & Po…",VILUPPURAM,Self-Financing T3
"Saraswathy College of Engineering and Technology, NH-45 Main Road…",VILUPPURAM,Self-Financing T3
"Loyola-ICAM College of Engineering and Technology , Loyola Colleg…",CHENNAI,Self-Financing T2
"PERI Institute of Technology , Mannivakkam,Tambaram, Kancheepuram…",CHENGALPET,Self-Financing T3
"Adhiparasakthi College of Engineering, G.B.Nagar, Kalavai, Arcot …",RANIPET,Self-Financing T3
"Arulmigu Meenakshi Amman College of Engineering, Vadamavandal Vil…",THIRUVANNAMALAI,Self-Financing T3
"Arunai Engineering College , Chittor-Cuddalore Raod, Mathur, Tiru…",THIRUVANNAMALAI,Self-Financing T3
"C.Abdul Hakeem College of Engineering and Technology, Hakeem Naga…",RANIPET,Self-Financing T3
"Ganadipathy Tulsi's Jain Engineering College, Chittoor-Cuddalore …",VELLORE,Self-Financing T3
"Meenakshi College of Engineering, 12,Vembuli Amman Koil Street, W…",CHENNAI,Self-Financing T3
"Priyadarshini Engineering College, Chettiyappanur Village & Post,…",THIRUPATHUR,Self-Financing T3
"RANIPPETTAI ENGINEERING COLLEGE, THENKADAPPANTHANGAL, VELLORE DIS…",VELLORE,Self-Financing T3
"S.K.P. Engineering College, Chinnkangiyanur, Somasipadi Post, Tir…",THIRUVANNAMALAI,Self-Financing T3
"Sri Balaji Chockalingam Engineering College, Irumbedu, Arni Taluk…",THIRUVANNAMALAI,Self-Financing T3
Thanthai Periyar Government Institute of Technology Bagayam Vello…,VELLORE,Government
"Thirumalai Engineering College, Kilambi, Krishnapuram Post, Kanch…",KANCHEEPURAM,Self-Financing T3
"Thiruvalluvar College of Engineering and Technology, Arunachala C…",THIRUVANNAMALAI,Self-Financing T3
"Bharathidasan Engineering College, K.Bandarapalli Post, Nattrampa…",THIRUPATHUR,Self-Financing T3
"Kingston Engineering College, Chittoor Main Road, Chiristianpet V…",VELLORE,Self-Financing T3
"Global Institute of Engineering and Technology, 257/1, Bangalore-…",RANIPET,Self-Financing T3
"Annamalaiar College Of Engineering, Chetpet-Polur Road, Polur Tal…",THIRUVANNAMALAI,Self-Financing T3
"Podhigai College of Engineering and Technology, Salem Main Road, …",THIRUPATHUR,Self-Financing T3
"Sri Krishna College of Engineering, T.R.S. Campus, Sri Krishna Na…",RANIPET,Self-Financing T3
"Oxford College of Engineering, Venmani Village, Karaipoondi Post,…",THIRUVANNAMALAI,Self-Financing T3
"Idhaya Engineering College for Women, Nainarpalayam Road,Chinna S…",KALLAKURICHI,Self-Financing T3
Government College of Technology Thadagam Road Coimbatore Distric…,COIMBATORE,Government
PSG College of Technology Peelamedu Coimbatore District 641004,COIMBATORE,Govt-Aided
