name,district,type
"OASYS Institute of Technology, Tiruchirappalli-Thuraiyur Mani Roa…",TIRUCHIRAPALLI,Self-Financing T3
"M.A.M. School of Engineering , Trichy-Chennai Trunk Road, Sirugan…",TIRUCHIRAPALLI,Self-Financing T3
SRM TRP Engineering College Irungalur Manachanallur Taluk Tiruchi…,TIRUCHIRAPALLI,Self-Financing T2
"A.V.C. College of Engineering, Mannampandal, Mayiladuthurai, Naga…",MAYILADUTHURAI,Self-Financing T3
"Anjalai Ammal Mahalingam Engineering College, Kovilvenni, Thiruva…",THIRUVARUR,Self-Financing T3
"Arasu Engineering College, Chennai Main Road, Thiruvisanallur - V…",THANJAVUR,Self-Financing T3
"Dhanalakshmi Srinivasan Engineering College , Thuraiyur Road, Per…",PERAMBALUR,Self-Financing T1
"E.G.S. Pillay Engineering College , Old Nagore Road, Nagore Post,…",NAGAPATTINAM,Self-Financing T3
"J.J. College of Engineering and Technology, Ammapettai, Poolankul…",TIRUCHIRAPALLI,Self-Financing T3
"Jayaram College of Engineering and Technology, Karattampatty, Pag…",TIRUCHIRAPALLI,Self-Financing T3
"MAM College of Engineering, Trichy-Chennai Trunk Road, Siruganur,…",TIRUCHIRAPALLI,Self-Financing T3
"M.I.E.T. Engineering College , Trichy - Pudukkottai Road, Gundur,…",TIRUCHIRAPALLI,Self-Financing T3
"Mookambigai College of Engineering, Srinivasa Nagar, Kalamavur (P…",PUDUKKOTTAI,Self-Financing T3
"Oxford Engineering College, Pirattiyur, Tiruchirappalli-620009.",TIRUCHIRAPALLI,Self-Financing T3
"Pavendar Bharathidasan College of Engineering and Technology, Tha…",TIRUCHIRAPALLI,Self-Financing T3
"Roever Engineering College, Elambalur (Post), Perambalur-621212.",PERAMBALUR,Self-Financing T3
"Saranathan College of Engineering , Venkateswara Nagar, Edamalaip…",TIRUCHIRAPALLI,Self-Financing T3
"Trichy Engineering College, somu Nagr,Konalai, Tiruchirappalli-62…",TIRUCHIRAPALLI,Self-Financing T3
"A.R.J College of Engineering and Technology, Thirumakkottai Main …",THIRUVARUR,Self-Financing T3
Tittagudi Sengunthar Engineering College (Formerly Dr.Navalar Ned…,CUDDALORE,Self-Financing T3
"St. Joseph's College of Engineering and Technology, A.S.Nagar, El…",THANJAVUR,Self-Financing T3
"Kongunadu College of Engineering and Technology , Tholurpatti, Th…",TIRUCHIRAPALLI,Self-Financing T3
"M.A.M. College of Engineering and Technology, Trichy-Chennai Trun…",TIRUCHIRAPALLI,Self-Financing T3
"K. Ramakrishnan College of Engineering , Kariyamanickam Road, Sam…",TIRUCHIRAPALLI,Self-Financing T3
"Indra Ganesan College of Engineering , Madurai Main Road, Manikan…",TIRUCHIRAPALLI,Self-Financing T3
"Parisutham Institute of Technology and Science , NH 67 Ring Road,…",THANJAVUR,Self-Financing T3
"CARE College of Engineering , No.27, Thayanoor village, Kuttapatt…",TIRUCHIRAPALLI,Self-Financing T3
"MRK Institute of Technology, Nattarmangalam Post, Kattumannarkoil…",CUDDALORE,Self-Financing T3
"Shivani Engineering College, Poolangulathupatti (Post), Srirangam…",TIRUCHIRAPALLI,Self-Financing T3
"Imayam College of Engineering, Kannanur Post, Thuraiyur Taluk, Ti…",TIRUCHIRAPALLI,Self-Financing T3
"Mother Terasa College of Engineering and Technology, Mettusalai, …",PUDUKKOTTAI,Self-Financing T3
"Vandayar Engineering College, Pulavarnatham (Post), Mariammankovi…",THANJAVUR,Self-Financing T3
"Annai College of Engineering and Technology, Anakudi Road, Kovila…",THANJAVUR,Self-Financing T3
"Sri Bharathi Engineering College for Women, Aranthangi Road, Kaik…",PUDUKKOTTAI,Self-Financing T3
"Mahath Amma Institute of Engineering and Technology, Ariyur, Math…",PUDUKKOTTAI,Self-Financing T3
"As-Salam College of Engineering and Technology, Thirumangalakudi-…",THANJAVUR,Self-Financing T3
"Meenakshi Ramaswamy Engineering College, M.R.Kalvi Nagar, Thathan…",ARIYALUR,Self-Financing T3
"St.Anne's College of Engineering and Technology, Anguchettypalaya…",CUDDALORE,Self-Financing T3
"Kings College of Engineering , Punalkulam Village, Gandarvakkotta…",PUDUKKOTTAI,Self-Financing T3
"Mount Zion College of Engineering and Technology, Lena vilakku, P…",PUDUKKOTTAI,Self-Financing T3
"Shanmuganathan Engineering College, Arasampatti, Pilivalam Post, …",PUDUKKOTTAI,Self-Financing T3
"Sudharsan Engineering College, Sathiyamangalam, Kulathur Taluk, P…",PUDUKKOTTAI,Self-Financing T3
"MNSK College of Engineering, Dhakshinapuram Village, Vallathirako…",PUDUKKOTTAI,Self-Financing T3
"Chendhuran College of Engineering and Technology, Madurai Main Ro…",PUDUKKOTTAI,Self-Financing T3
Anna University Regional Campus - Tirunelveli Trivandrum Road Pal…,TIRUNELVELI,University Constituent
University College of Engineering Nagercoil Nagercoil Industrial …,KANYAKUMARI,University Constituent
University V.O.C. College of Engineering Thoothukudi Near V.O.C. …,TUTICORIN,University Constituent
"Thamirabharani Engineering College , Ward - 1, Thatchanallur, Cha…",TIRUNELVELI,Self-Financing T3
"Rohini College of Engineering and Technology , Palkumlam, Variyoo…",KANYAKUMARI,Self-Financing T3
"Stella Mary's College of Engineering , Arunthenkanvilai, Azhikal,…",KANYAKUMARI,Self-Financing T3
"Universal College of Engineering and Technology, Anbagam Campus, …",TIRUNELVELI,Self-Financing T3
"Renganayagi Varatharaj College of Engineering, Salvarpatti Villag…",VIRUDHUNAGAR,Self-Financing T3
Arunachala Hitech Engineering College (formerly Lourdes Mount Col…,KANYAKUMARI,Self-Financing T3
"RAMCO Institute of Technology, North Venganallur Village, Krishna…",VIRUDHUNAGAR,Self-Financing T3
"AAA College of Engineering and Technology, Amathur Village, Sivak…",VIRUDHUNAGAR,Self-Financing T3
"Good Shepherd College of Engineering and Technology, Maruthampara…",KANYAKUMARI,Self-Financing T3
"V V College of Engineering, V.V. Nagar, Arasur Village, Idaichivi…",TUTICORIN,Self-Financing T3
"Sethu Institute of Technology , Pulloor, Kariapatti, Virudhunagar…",VIRUDHUNAGAR,Self-Financing T2
"Sun College of Engineering and Technology, Udaya Nagar, Ammandivi…",KANYAKUMARI,Self-Financing T3
"Maria College of Engineering and Technology, Attoor Puliyamoodu J…",KANYAKUMARI,Self-Financing T3
"Mar Ephraem College of Engineering and Technology, Malankara Hill…",KANYAKUMARI,Self-Financing T3
"M.E.T. Engineering College, No.13/142A9/9,Mogals Garden, Chenbaga…",KANYAKUMARI,Self-Financing T3
"Grace College of Engineering , Chandy Nagar, Mullakkadu, Thoothuk…",TUTICORIN,Self-Financing T3
"Immanuel Arasar JJ College of Engineering, Edavilagam, Nattalam, …",KANYAKUMARI,Self-Financing T3
"St. Mother Theresa Engineering College, Vagaikulam, Mudivaithanen…",TUTICORIN,Self-Financing T3
"Holy Cross Engineering College, 7/131, Vagaikulam Srivaikuntam Ex…",TUTICORIN,Self-Financing T3
"Sivaji College of Engineering and Technology, Manivilai Post, Kan…",KANYAKUMARI,Self-Financing T3
"Unnamalai Institute of Technology, Suba Nagar, Ayyaneri Post, Kov…",TUTICORIN,Self-Financing T3
"Satyam College of Engineering and Technology, Satyam Nagar, Kanna…",KANYAKUMARI,Self-Financing T3
"Arunachala College of Engineering for Women, Thanka Gardens, Mana…",KANYAKUMARI,Self-Financing T3
"DMI Engineering College, Kumarapuram Road, Aralvaimozhi, Kanyakum…",KANYAKUMARI,Self-Financing T3
"PSN Institute of Technology and Science, Melathediyoor, Palayamko…",TIRUNELVELI,Self-Financing T3
"C.S.I. Institute of Technology, Thovalai & PO, Kanyakumari Distri…",KANYAKUMARI,Self-Financing T3
"Cape Institute of Technology, Rajakrishnapuram Post, Radhapuram T…",TIRUNELVELI,Self-Financing T3
"Dr Sivanthi Aditanar College of Engineering, Tirunelveli Road, Ti…",TUTICORIN,Self-Financing T3
"Francis Xavier Engineering College , 103 G2, By Pass Road, Vannar…",TIRUNELVELI,Self-Financing T3
"Jayamatha Engineering College, Thirurajapuram Muppandal, Aralvaim…",KANYAKUMARI,Self-Financing T3
"Jayaraj Annapackiam CSI College of Engineering, Margoschis Nagar,…",TUTICORIN,Self-Financing T3
"Kamaraj College of Engineering and Technology , S.P.G.C.Nagar Pos…",VIRUDHUNAGAR,Self-Financing T3
"Mepco Schlenk Engineering College , Sivakasi,Mepco Engineering Co…",VIRUDHUNAGAR,Self-Financing T1
"Nellai College of Engineering , Maruthakulam P.O, Nanguneri Taluk…",TIRUNELVELI,Self-Financing T3
"National Engineering College , K.R. Nagar, Nalattinputhur, Kovilp…",TUTICORIN,Self-Financing T2
PSN College of Engineering and Technology Melathediyoor Tirunelve…,TIRUNELVELI,Self-Financing T3
"P.S.R. Engineering College , Appayanaickenpatty, Sevalpatty, Siva…",VIRUDHUNAGAR,Self-Financing T3
"PET Engineering College, Thiruchendur Road, Vallioor, Tirunelveli…",TIRUNELVELI,Self-Financing T3
"S. Veerasamy Chettiar College of Engineering and Technology, S.V.…",TENKASI,Self-Financing T3
"Sardar Raja College of Engineering, Raja Nagar, Alangulam, Tirune…",TENKASI,Self-Financing T3
"SCAD College of Engineering and Technology, Scad Nagar, Cheranmah…",TIRUNELVELI,Self-Financing T3
"Sree Sowdambika College of Engineering, Chettikurichi, Aruppukott…",VIRUDHUNAGAR,Self-Financing T3
"St. Xavier's Catholic College of Engineering , Chunkankadai, Kany…",KANYAKUMARI,Self-Financing T3
Government College of Engineering Tirunelveli District 627007,TIRUNELVELI,Government
"Dr G.U. Pope College of Engineering, Pope Nagar, Sawyerpuram, Tho…",TUTICORIN,Self-Financing T3
"Infant Jesus College of Engineering, Kamarajar Nagar, Tirunelveli…",TUTICORIN,Self-Financing T3
"Narayanaguru College of Engineering, Chittadavu, Manjalumoodu, Vi…",KANYAKUMARI,Self-Financing T3
"Udaya School of Engineering, Udaya Nagar, Vellamadi Junction,Amma…",KANYAKUMARI,Self-Financing T3
"Einstein College of Engineering, Sir.C.V.Raman Nagar, Seethaparpa…",TIRUNELVELI,Self-Financing T3
"Ponjesly College of Engineering, Near Parvathipuram, Alamparai, V…",KANYAKUMARI,Self-Financing T3
"Vins Christian College of Engineering, Vins Nagar, Chunkankadai, …",KANYAKUMARI,Self-Financing T3
"Lord Jegannath College of Engineering and Technology, PSN Nagar, …",KANYAKUMARI,Self-Financing T3
"MARTHANDAM COLLEGE OF ENGINEERING AND TECHNOLOGY, P.M.VILLAGE ROA…",KANYAKUMARI,Self-Financing T3
"NOORUL ISLAM COLLEGE OF ENGINEERING AND TECHNOLOGY, PUNKARAI, THI…",KANYAKUMARI,Self-Financing T3
"PSN Engineering College, Melathediyoor, Palayamkottai, Tirunelvel…",TIRUNELVELI,Self-Financing T3
"Bethlahem Institute of Engineering, Nadutheri, Karungal, Kanyakum…",KANYAKUMARI,Self-Financing T3
"Loyola Institute of Technology and Science, P.Bo. No.2, Thovalai …",KANYAKUMARI,Self-Financing T3
"J.P. College of Engineering, College Road, Ayikudy, Tenkasi Taluk…",TENKASI,Self-Financing T3
"Sri Vidya College of Engineering and Technology, Sivakasi Main Ro…",VIRUDHUNAGAR,Self-Financing T3
"Mahakavi Bharathiyar College of Engineering and Technology, Kovil…",TENKASI,Self-Financing T3
"Annai Vailankanni College of Engineering, AVK Nagar, Pothaiyadisa…",KANYAKUMARI,Self-Financing T3
Thiagarajar College of Engineering Tirupparankundram Madurai Dist…,MADURAI,Govt-Aided
Government College of Engineering Melachokkanathapuram Bodinayakk…,THENI,Government
Anna University Regional Campus - Madurai Kanyakumari National Hi…,MADURAI,University Constituent
Central Electrochemical Research Institute CECRI) Karaikudi Sivag…,SIVAGANGAI,Central Govt
University College of Engineering Ramanathapuram Pullangudi Raman…,RAMANATHAPURAM,University Constituent
University College of Engineering Dindigul Mangarai Pirivu Reddiy…,DINDIGUL,University Constituent
"Sri Raajaraajan College of Engineering and Technology, No.146/4B1…",SIVAGANGAI,Self-Financing T3
"SSM Institute of Engineering and Technology , Kuttathupatti Villa…",DINDIGUL,Self-Financing T3
"Vaigai College of Engineering, Therkutheru, Melur Taluk, Madurai-…",MADURAI,Self-Financing T3
Karaikudi Institute of Technology & Karaikudi Institute of Manage…,SIVAGANGAI,Self-Financing T3
"Mangayarkarasi College of Engineering, 7-1-139, 1st Street, Manga…",MADURAI,Self-Financing T3
"Jainee College of Engineering and Technology, Dindigul-Theni Main…",DINDIGUL,Self-Financing T3
"G.T.N COLLEGE OF TECHNOLOGY, OLD KARUR ROAD, DINDIGUL - 624005",DINDIGUL,Self-Financing T3
"Jamal Mohamed College of Engineering, NH-45, Trichy Road, Morepat…",DINDIGUL,Self-Financing T3
"Christian College of Engineering and Technology, Near Check Post,…",DINDIGUL,Self-Financing T3
"N.P.R College of Engineering and Technology , Punnappatti Village…",DINDIGUL,Self-Financing T3
"SRM Madurai College for Engineering and Technology, Pottapalayam …",SIVAGANGAI,Self-Financing T3
"Veerammal Engineering College, PVP Nagar, K.Singrakottai, Dindigu…",DINDIGUL,Self-Financing T3
"RVS School of Engineering and Technology, (Formerly R V S Educati…",DINDIGUL,Self-Financing T3
"Nadar Saraswathi College of Engineering and Technology, Vadapudup…",THENI,Self-Financing T3
Alagappa Chettair Government College of Engineering and Technolog…,SIVAGANGAI,Government
"Bharath Niketan Engineering College, Shri Gowri Nagar, Thimmarasa…",THENI,Self-Financing T3
"K.L.N.College of Engineering , Madurai - Nedunkulam Road, Pottapa…",SIVAGANGAI,Self-Financing T3
"Mohamed Sathak Engineering College , Sathak Nagar, East Coast Roa…",RAMANATHAPURAM,Self-Financing T3
"PSNA College of Engineering and Technology , Kothandaraman Nagar,…",DINDIGUL,Self-Financing T3
"P.T.R. College of Engineering and Technology, Thanapandiyan Nagar…",MADURAI,Self-Financing T3
"Pandian Saraswathi Yadav Engineering College, Arasanoor Village, …",SIVAGANGAI,Self-Financing T3
"R.V.S. College of Engineering, RVS Nagar, Karur Road, N.Paraipatt…",DINDIGUL,Self-Financing T3
"Solamalai College of Engineering , S.V Raja Nagar, Veerapanjan, M…",MADURAI,Self-Financing T3
"SACS M.A.V.M.M. Engineering College, 446, Melur - Alagarkoil Road…",MADURAI,Self-Financing T3
"St. Michael College of Engineering and Technology, St. Santhiagap…",SIVAGANGAI,Self-Financing T3
"Syed Ammal Engineering College , Dr. E.M.Abdullah Campus, Lanthai…",RAMANATHAPURAM,Self-Financing T3
"SBM College of Engineering and Technology, SBM Nagar, Thamaraipad…",DINDIGUL,Self-Financing T3
"Fatima Michael College of Engineering and Technology, Senkottai V…",MADURAI,Self-Financing T3
"Ultra College of Engineering and Technology , 69/1, Ultra Nagar, …",MADURAI,Self-Financing T3
"Velammal College of Engineering and Technology , Velammal Nagar, …",MADURAI,Self-Financing T1
"Theni Kammavar Sangam College of Technology, Theni Main road, Kod…",THENI,Self-Financing T3
"Latha Mathavan Engineering College, Latha Mathavan Nagar, Kidarip…",MADURAI,Self-Financing T3
"Kalasalingam Institute of Technology (4991), Anand Nagar, Krishnankoil, Srivilliputhur, Virudhunagar District-626126. [2025: NO ALLOTMENTS — HISTORICAL ESTIMATES]",VIRUDHUNAGAR,Self-Financing T2
